
="",="(1)",="(2)",="(3)",="(4)"
="",="SPFCPIMeanrvlv",="SPFPCEMeanrvlv",="SPFCPIVarrvlv",="SPFPCEVarrvlv"

="InfExp_Meanl1",="0.119",="0.672*",="",=""
="",="(0.328)",="(0.317)",="",=""

="InfExp_Varl1",="",="",="0.284",="0.539***"
="",="",="",="(0.161)",="(0.117)"

="_cons",="1.966***",="1.324***",="0.0607***",="0.0353**"
="",="(0.259)",="(0.246)",="(0.0142)",="(0.0105)"

="N",="48",="48",="48",="48"
="R-sq",="0.003",="0.089",="0.063",="0.315"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
