
="",="(1)",="(2)"
="",="SCE_FE_lag4",="SCE_FE_arlag4"

="L6.InfExp_Mean",="0.281",=""
="",="(0.329)",=""

="L7.InfExp_Mean",="0.00988",=""
="",="(0.288)",=""

="L8.InfExp_Mean",="-0.240",=""
="",="(0.315)",=""

="L6.InfExp_FE",="",="0.0859"
="",="",="(0.222)"

="L7.InfExp_FE",="",="-0.144"
="",="",="(0.217)"

="L8.InfExp_FE",="",="0.0165"
="",="",="(0.247)"

="L9.InfExp_FE",="",="0.111"
="",="",="(0.208)"

="L10.InfExp_FE",="",="-0.232"
="",="",="(0.271)"

="L11.InfExp_FE",="",="-0.113"
="",="",="(0.282)"

="L12.InfExp_FE",="",="0.0885"
="",="",="(0.232)"

="N",="43",="39"
="r2",="",=""
="ar2",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
