
="",="(1)",="(2)",="(3)"
="",="SCE_FE_lag4",="SCE_FE_arlag4",="SCE_FE_arlag13"

="L4.InfExp_Mean",="0.620**",="",=""
="",="(0.209)",="",=""

="L4.InfExp_FE",="",="0.528***",=""
="",="",="(0.141)",=""

="L.InfExp_FE",="",="",="0.947***"
="",="",="",="(0.103)"

="L2.InfExp_FE",="",="",="0.100"
="",="",="",="(0.112)"

="L3.InfExp_FE",="",="",="-0.181"
="",="",="",="(0.120)"

="N",="47",="47",="48"
="r2",="",="",=""
="ar2",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
