
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="CPIAU_op",="CPIAU_uid",="CPICore_op",="CPICore_uid",="PCEPI_op",="PCEPI_uid",="CPIAU_mp1ut",="CPICore_mp1ut",="PCEPI_mp1ut",="CPIAU_ED4ut",="CPICore_ED4ut",="PCEPI_ED4ut",="CPIAU_ED8ut",="CPICore_ED8ut",="PCEPI_ED8ut"

="op_shock",="0.421***",="",="0.132",="",="0.282***",="",="",="",="",="",="",="",="",="",=""
="",="(0.108)",="",="(0.0796)",="",="(0.0660)",="",="",="",="",="",="",="",="",="",=""

="L.op_shock",="0.477***",="",="0.157",="",="0.336***",="",="",="",="",="",="",="",="",="",=""
="",="(0.124)",="",="(0.0851)",="",="(0.0720)",="",="",="",="",="",="",="",="",="",=""

="CPIAU_uid_shock",="",="0.771*",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.354)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.CPIAU_uid_shock",="",="1.362***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.225)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="CPICore_uid_shock",="",="",="",="1.530",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.171)",="",="",="",="",="",="",="",="",="",="",=""

="L.CPICore_uid_shock",="",="",="",="0.730",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.031)",="",="",="",="",="",="",="",="",="",="",=""

="PCEPI_uid_shock",="",="",="",="",="",="1.106**",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.405)",="",="",="",="",="",="",="",="",=""

="L.PCEPI_uid_shock",="",="",="",="",="",="1.302***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.335)",="",="",="",="",="",="",="",="",=""

="mp1ut_shock",="",="",="",="",="",="",="-0.183*",="-0.107",="-0.0765",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.0741)",="(0.0694)",="(0.0664)",="",="",="",="",="",=""

="L.mp1ut_shock",="",="",="",="",="",="",="-0.101",="-0.170",="-0.0226",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.0956)",="(0.0960)",="(0.0835)",="",="",="",="",="",=""

="ED4ut_shock",="",="",="",="",="",="",="",="",="",="0.155",="-0.00955",="0.114",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.0957)",="(0.0858)",="(0.0886)",="",="",=""

="L.ED4ut_shock",="",="",="",="",="",="",="",="",="",="0.312**",="0.159*",="0.278**",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.111)",="(0.0751)",="(0.0998)",="",="",=""

="ED8ut_shock",="",="",="",="",="",="",="",="",="",="",="",="",="0.320**",="0.0682",="0.242*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.115)",="(0.0977)",="(0.0973)"

="L.ED8ut_shock",="",="",="",="",="",="",="",="",="",="",="",="",="0.276**",="0.136*",="0.232**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.0961)",="(0.0657)",="(0.0774)"

="_cons",="3.244***",="3.022***",="3.602***",="3.434***",="3.134***",="2.607***",="2.732***",="2.919***",="2.362***",="2.796***",="2.983***",="2.380***",="2.797***",="2.986***",="2.382***"
="",="(0.0991)",="(0.130)",="(0.0945)",="(0.127)",="(0.0919)",="(0.117)",="(0.101)",="(0.0897)",="(0.0875)",="(0.0984)",="(0.0885)",="(0.0831)",="(0.0960)",="(0.0883)",="(0.0818)"

="N",="843",="83",="735",="83",="711",="83",="179",="179",="179",="179",="179",="179",="179",="179",="179"
="R-sq",="0.054",="0.185",="0.008",="0.038",="0.041",="0.167",="0.031",="0.032",="0.007",="0.065",="0.018",="0.067",="0.084",="0.017",="0.076"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
