
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)"
="",="CPIAU_pty",="CPIAU_uid",="CPICore_pty",="CPICore_uid",="PCE_pty",="PCE_uid",="PCECore_pty",="PCECore_uid",="CPIAU_pty_max",="CPICore_pty_max",="PCE_pty_max",="PCECore_pty_max",="CPIAU_op",="CPICore_op",="PCE_op",="PCECore_op",="CPIAU_mp1ut",="CPICore_mp1ut",="PCE_mp1ut",="PCECore_mp1ut",="CPIAU_ED4ut",="CPICore_ED4ut",="PCE_ED4ut",="PCECore_ED4ut",="CPIAU_ED8ut",="CPICore_ED8ut",="PCE_ED8ut",="PCECore_ED8ut"

="pty_shock",="0.0170",="",="0.104",="",="-0.0104",="",="0.0355",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.144)",="",="(0.113)",="",="(0.118)",="",="(0.103)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.pty_shock",="-0.0900",="",="0.0700",="",="-0.112",="",="-0.0279",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.150)",="",="(0.115)",="",="(0.124)",="",="(0.103)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="CPIAU_uid_shock",="",="0.910***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.163)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.CPIAU_uid_shock",="",="0.628***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.158)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="CPICore_uid_shock",="",="",="",="0.919***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.214)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.CPICore_uid_shock",="",="",="",="0.939***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.190)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="PCE_uid_shock",="",="",="",="",="",="0.920***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.181)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.PCE_uid_shock",="",="",="",="",="",="0.711***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.166)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="PCECore_uid_shock",="",="",="",="",="",="",="",="0.963***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.123)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.PCECore_uid_shock",="",="",="",="",="",="",="",="0.734***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.144)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="pty_max_shock",="",="",="",="",="",="",="",="",="0.202",="0.0980",="0.144",="0.0797",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.171)",="(0.0905)",="(0.131)",="(0.0753)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.pty_max_shock",="",="",="",="",="",="",="",="",="0.345*",="0.115",="0.269*",="0.131",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.150)",="(0.0901)",="(0.118)",="(0.0755)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="op_shock",="",="",="",="",="",="",="",="",="",="",="",="",="0.314*",="-0.0506",="0.250*",="0.0156",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.133)",="(0.151)",="(0.107)",="(0.110)",="",="",="",="",="",="",="",="",="",="",="",=""

