
="",="(1)"
="",="."

="L.Inf1y_PCEPI",="0.651***"
="",="(0.110)"

="L2.Inf1y_PCEPI",="-0.0385"
="",="(0.125)"

="L3.Inf1y_PCEPI",="0.127"
="",="(0.125)"

="L4.Inf1y_PCEPI",="-0.164"
="",="(0.0951)"

="pty_shock",="-0.0970"
="",="(0.0771)"

="L.pty_shock",="-0.109"
="",="(0.0726)"

="op_shock",="0.240***"
="",="(0.0623)"

="L.op_shock",="0.0618"
="",="(0.0674)"

="mp1_shock",="0.555"
="",="(0.566)"

="L.mp1_shock",="-0.302"
="",="(0.581)"

="ED8_shock",="0.639"
="",="(0.541)"

="L.ED8_shock",="-0.226"
="",="(0.558)"

="_cons",="0.551***"
="",="(0.161)"

="N",="99"
="R-sq",="0.693"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
