
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SCEMeanrvlv0",="SCEMeanrvlv1",="SCEMeanrvlv2",="SCEMeanrvlv3",="SCEVarrvlv0",="SCEVarrvlv1",="SCEVarrvlv2",="SCEVarrvlv3"

="L.InfExp_Mean_rv",="",="0.884***",="0.750***",="0.685**",="",="",="",=""
="",="",="(0.084)",="(0.171)",="(0.211)",="",="",="",=""

="L2.InfExp_Mean_rv",="",="",="0.206",="0.199",="",="",="",=""
="",="",="",="(0.173)",="(0.185)",="",="",="",=""

="L3.InfExp_Mean_rv",="",="",="-0.073",="-0.122",="",="",="",=""
="",="",="",="(0.191)",="(0.264)",="",="",="",=""

="L4.InfExp_Mean_rv",="",="",="",="0.055",="",="",="",=""
="",="",="",="",="(0.217)",="",="",="",=""

="L5.InfExp_Mean_rv",="",="",="",="0.073",="",="",="",=""
="",="",="",="",="(0.242)",="",="",="",=""

="L6.InfExp_Mean_rv",="",="",="",="-0.016",="",="",="",=""
="",="",="",="",="(0.140)",="",="",="",=""

="L.InfExp_Var_rv",="",="",="",="",="",="0.731***",="0.723***",="0.785***"
="",="",="",="",="",="",="(0.108)",="(0.159)",="(0.161)"

="L2.InfExp_Var_rv",="",="",="",="",="",="",="0.283",="0.174"
="",="",="",="",="",="",="",="(0.197)",="(0.246)"

="L3.InfExp_Var_rv",="",="",="",="",="",="",="-0.336",="-0.410"
="",="",="",="",="",="",="",="(0.186)",="(0.266)"

="L4.InfExp_Var_rv",="",="",="",="",="",="",="",="0.270"
="",="",="",="",="",="",="",="",="(0.219)"

="L5.InfExp_Var_rv",="",="",="",="",="",="",="",="-0.065"
="",="",="",="",="",="",="",="",="(0.248)"

="L6.InfExp_Var_rv",="",="",="",="",="",="",="",="-0.082"
="",="",="",="",="",="",="",="",="(0.172)"

="_cons",="-0.263***",="-0.016",="-0.010",="-0.005",="-0.590**",="-0.186",="-0.199",="-0.163"
="",="(0.038)",="(0.029)",="(0.033)",="(0.042)",="(0.174)",="(0.155)",="(0.164)",="(0.171)"

="N",="41",="40",="38",="35",="41",="40",="38",="35"
="r2",="0.000",="0.717",="0.732",="0.690",="0.000",="0.549",="0.597",="0.619"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
