
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPIMeanrvlv1",="SPFCPIMeanrvlv2",="SPFCPIMeanrvlv3",="SPFPCEMeanrvlv1",="SPFPCEMeanrvlv2",="SPFPCEMeanrvlv3",="SPFCPIVarrvlv1",="SPFCPIVarrvlv2",="SPFCPIVarrvlv3",="SPFPCEVarrvlv1",="SPFPCEVarrvlv2",="SPFPCEVarrvlv3"

="InfExp_Mean",="0.0537",="0.327*",="0.295",="0.0627",="0.192",="0.0972",="",="",="",="",="",=""
="",="(0.072)",="(0.142)",="(0.146)",="(0.080)",="(0.159)",="(0.162)",="",="",="",="",="",=""

="L.InfExp_Mean",="",="-0.289*",="-0.114",="",="-0.120",="0.167",="",="",="",="",="",=""
="",="",="(0.142)",="(0.211)",="",="(0.160)",="(0.237)",="",="",="",="",="",=""

="L2.InfExp_Mean",="",="",="-0.164",="",="",="-0.264",="",="",="",="",="",=""
="",="",="",="(0.147)",="",="",="(0.163)",="",="",="",="",="",=""

="InfExp_Var",="",="",="",="",="",="",="0.0266",="0.0167",="0.0133",="-0.0625",="-0.101",="-0.0770"
="",="",="",="",="",="",="",="(0.080)",="(0.084)",="(0.088)",="(0.056)",="(0.067)",="(0.068)"

="L.InfExp_Var",="",="",="",="",="",="",="",="0.00405",="0.00742",="",="0.0614",="0.119"
="",="",="",="",="",="",="",="",="(0.083)",="(0.088)",="",="(0.067)",="(0.074)"

="L2.InfExp_Var",="",="",="",="",="",="",="",="",="-0.0195",="",="",="-0.130"
="",="",="",="",="",="",="",="",="",="(0.086)",="",="",="(0.073)"

="_cons",="0.729***",="0.766***",="0.808***",="0.689***",="0.679***",="0.798***",="0.0447***",="0.0455***",="0.0471***",="0.0485***",="0.0469***",="0.0504***"
="",="(0.143)",="(0.140)",="(0.150)",="(0.142)",="(0.145)",="(0.152)",="(0.007)",="(0.009)",="(0.011)",="(0.005)",="(0.005)",="(0.006)"

="N",="48",="47",="46",="48",="47",="46",="48",="47",="46",="48",="47",="46"
="btestpv",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="r2",="0.012",="0.108",="0.136",="0.013",="0.039",="0.086",="0.002",="0.001",="0.002",="0.027",="0.049",="0.113"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
