
="",="(1)",="(2)",="(3)",="(4)"
="",="SPFCPI_FE",="SPFPCE_FE",="SPFCPI_Var",="SPFPCE_Var"

="L.SPFCPI_FE",="0.743***",="",="",=""
="",="(0.128)",="",="",=""

="L2.SPFCPI_FE",="-0.0437",="",="",=""
="",="(0.103)",="",="",=""

="pty_shock",="0.214",="0.138",="",=""
="",="(0.115)",="(0.0904)",="",=""

="L.pty_shock",="0.0522",="0.0279",="",=""
="",="(0.0860)",="(0.0604)",="",=""

="op_shock",="0.00295",="0.00132",="",=""
="",="(0.0838)",="(0.0577)",="",=""

="L.op_shock",="0.0231",="0.0391",="",=""
="",="(0.161)",="(0.117)",="",=""

="mp1ut_shock",="1.239***",="0.973***",="",=""
="",="(0.182)",="(0.147)",="",=""

="L.mp1ut_shock",="0.0951",="0.286",="",=""
="",="(0.214)",="(0.146)",="",=""

="ED8ut_shock",="0.0849",="0.0821",="",=""
="",="(0.0745)",="(0.0504)",="",=""

="L.ED8ut_shock",="-0.0431",="-0.0201",="",=""
="",="(0.0818)",="(0.0611)",="",=""

="L.SPFPCE_FE",="",="0.726***",="",=""
="",="",="(0.113)",="",=""

="L2.SPFPCE_FE",="",="0.0388",="",=""
="",="",="(0.0875)",="",=""

="L.SPFCPI_Var",="",="",="-0.212",=""
="",="",="",="(0.341)",=""

="L2.SPFCPI_Var",="",="",="0.0000120",=""
="",="",="",="(0.000121)",=""

="pty_abshock",="",="",="-0.0388",="676.2"
="",="",="",="(0.0245)",="(594.6)"

="L.pty_abshock",="",="",="-0.00599",="75.05"
="",="",="",="(0.0326)",="(123.2)"

="op_abshock",="",="",="0.0270",="-130.9"
="",="",="",="(0.0382)",="(126.6)"

="L.op_abshock",="",="",="-0.0468",="-29.88"
="",="",="",="(0.0260)",="(63.23)"

="mp1ut_abshock",="",="",="0.00166",="-93.73"
="",="",="",="(0.00987)",="(99.83)"

="L.mp1ut_abshock",="",="",="0.0117",="115.7"
="",="",="",="(0.0184)",="(142.6)"

="ED8ut_abshock",="",="",="0.00453",="-363.4"
="",="",="",="(0.0279)",="(319.2)"

="L.ED8ut_abshock",="",="",="-0.0125",="-92.94"
="",="",="",="(0.0179)",="(112.9)"

="L.SPFPCE_Var",="",="",="",="0.00112"
="",="",="",="",="(0.00138)"

="L2.SPFPCE_Var",="",="",="",="0.00180"
="",="",="",="",="(0.00184)"

="N",="1139",="998",="884",="777"
="R-sq",="0.717",="0.731",="0.053",="0.007"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
