
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="Q9_mean",="Q9_mean_ch",="Q9_var",="Q9_var_ch",="Q9_disg",="Q9_disg_ch",="CPI1y",="CPI1y_ch",="PCE1y",="PCE1y_ch",="CORECPI1y",="CORECPI1y_ch",="COREPCE1y",="COREPCE1y_ch"

="L.Q9_mean",="0.700***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.150)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_mean",="0.138",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.176)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_mean",="0.111",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.176)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_mean",="0.0462",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.171)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_mean",="-0.194",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.130)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_mean_ch",="",="-0.0896",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.155)",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_mean_ch",="",="-0.0123",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.151)",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_mean_ch",="",="0.0875",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.149)",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_mean_ch",="",="0.0602",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.151)",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_mean_ch",="",="0.0262",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.141)",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_var",="",="",="0.436*",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.163)",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_var",="",="",="0.258",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.167)",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_var",="",="",="-0.00631",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.170)",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_var",="",="",="-0.193",="",="",="",="",="",="",="",="",="",="",=""
