
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Mean",="SCE_Var",="SCE_Disg",="SCE_FE"

="L.InfExp_Mean_ch",="-0.115",="",="",=""
="",="(0.127)",="",="",=""

="L2.InfExp_Mean_ch",="0.0155",="",="",=""
="",="(0.147)",="",="",=""

="L3.InfExp_Mean_ch",="0.103",="",="",=""
="",="(0.133)",="",="",=""

="L4.InfExp_Mean_ch",="0.105",="",="",=""
="",="(0.171)",="",="",=""

="L.InfExp_Var_ch",="",="-0.384**",="",=""
="",="",="(0.135)",="",=""

="L2.InfExp_Var_ch",="",="-0.0887",="",=""
="",="",="(0.136)",="",=""

="L3.InfExp_Var_ch",="",="-0.0779",="",=""
="",="",="(0.171)",="",=""

="L4.InfExp_Var_ch",="",="-0.173",="",=""
="",="",="(0.145)",="",=""

="L.InfExp_Disg_ch",="",="",="-0.190",=""
="",="",="",="(0.145)",=""

="L2.InfExp_Disg_ch",="",="",="-0.00432",=""
="",="",="",="(0.111)",=""

="L3.InfExp_Disg_ch",="",="",="-0.0938",=""
="",="",="",="(0.094)",=""

="L4.InfExp_Disg_ch",="",="",="-0.115",=""
="",="",="",="(0.112)",=""

="L.InfExp_FE_ch",="",="",="",="0.0793"
="",="",="",="",="(0.104)"

="L2.InfExp_FE_ch",="",="",="",="0.0736"
="",="",="",="",="(0.131)"

="L3.InfExp_FE_ch",="",="",="",="0.0585"
="",="",="",="",="(0.135)"

="L4.InfExp_FE_ch",="",="",="",="0.0465"
="",="",="",="",="(0.157)"

="N",="48",="48",="48",="46"
="r2",="0.0351",="0.158",="0.0546",="0.0205"
="ar2",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
