
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SCE_Mean",="SPFCPI_Mean",="SPFPCE_Mean",="SCE_Var",="SPFCPI_Var",="SPFPCE_Var",="SCE_Disg",="SPFCPI_Disg",="SPFPCE_Disg",="SCE_FE",="SPFCPI_FE",="SPFPCE_FE"

="L.InfExp_Mean_ch",="0.0195",="-0.111",="0.262",="",="",="",="",="",="",="",="",=""
="",="(0.424)",="(0.0837)",="(0.162)",="",="",="",="",="",="",="",="",=""

="L2.InfExp_Mean_ch",="-0.101",="-0.0973",="-0.356*",="",="",="",="",="",="",="",="",=""
="",="(0.344)",="(0.0818)",="(0.169)",="",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="0.0159",="0.0334",="-0.0347",="",="",="",="",="",="",="",="",=""
="",="(0.329)",="(0.0807)",="(0.177)",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean_ch",="0.0724",="0.209**",="0.0215",="",="",="",="",="",="",="",="",=""
="",="(0.332)",="(0.0745)",="(0.168)",="",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean_ch",="0.323",="-0.125",="-0.100",="",="",="",="",="",="",="",="",=""
="",="(0.336)",="(0.0766)",="(0.162)",="",="",="",="",="",="",="",="",=""

="L.InfExp_Var_ch",="",="",="",="-0.142",="-0.880***",="-0.544**",="",="",="",="",="",=""
="",="",="",="",="(0.384)",="(0.197)",="(0.162)",="",="",="",="",="",=""

="L2.InfExp_Var_ch",="",="",="",="-0.161",="-0.822**",="-0.512*",="",="",="",="",="",=""
="",="",="",="",="(0.283)",="(0.251)",="(0.191)",="",="",="",="",="",=""

="L3.InfExp_Var_ch",="",="",="",="-0.429",="-0.597*",="-0.527*",="",="",="",="",="",=""
="",="",="",="",="(0.292)",="(0.270)",="(0.199)",="",="",="",="",="",=""

="L4.InfExp_Var_ch",="",="",="",="-0.574",="-0.196",="-0.157",="",="",="",="",="",=""
="",="",="",="",="(0.277)",="(0.247)",="(0.200)",="",="",="",="",="",=""

="L5.InfExp_Var_ch",="",="",="",="-0.219",="-0.0305",="-0.272",="",="",="",="",="",=""
="",="",="",="",="(0.297)",="(0.194)",="(0.183)",="",="",="",="",="",=""

="L.InfExp_Disg_ch",="",="",="",="",="",="",="0.398",="-0.744***",="-0.433**",="",="",=""
="",="",="",="",="",="",="",="(0.386)",="(0.0764)",="(0.153)",="",="",=""

="L2.InfExp_Disg_ch",="",="",="",="",="",="",="-0.696",="-0.512***",="0.0930",="",="",=""
="",="",="",="",="",="",="",="(0.382)",="(0.0770)",="(0.156)",="",="",=""

="L3.InfExp_Disg_ch",="",="",="",="",="",="",="0.436",="-0.239**",="0.263",="",="",=""
="",="",="",="",="",="",="",="(0.462)",="(0.0751)",="(0.136)",="",="",=""

="L4.InfExp_Disg_ch",="",="",="",="",="",="",="-0.560",="0.0430",="-0.0815",="",="",=""
="",="",="",="",="",="",="",="(0.358)",="(0.0601)",="(0.134)",="",="",=""

="L5.InfExp_Disg_ch",="",="",="",="",="",="",="0.320",="0.104*",="-0.0891",="",="",=""
="",="",="",="",="",="",="",="(0.394)",="(0.0443)",="(0.118)",="",="",=""

="L.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="0.169",="0.151",="0.370*"
="",="",="",="",="",="",="",="",="",="",="(0.448)",="(0.0861)",="(0.156)"

="L2.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="-0.119",="-0.231**",="-0.462**"
="",="",="",="",="",="",="",="",="",="",="(0.403)",="(0.0760)",="(0.144)"

="L3.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="-0.292",="0.0115",="0.113"
="",="",="",="",="",="",="",="",="",="",="(0.401)",="(0.0786)",="(0.128)"

="L4.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="0.151",="-0.469***",="-0.479***"
="",="",="",="",="",="",="",="",="",="",="(0.436)",="(0.0760)",="(0.114)"

="L5.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="-0.109",="0.0508",="0.207"
="",="",="",="",="",="",="",="",="",="",="(0.398)",="(0.0849)",="(0.121)"

="_cons",="0.0242",="-0.0233",="-0.00763",="-0.134",="0.00513",="0.00476",="-0.336",="-0.0236",="-0.0138",="-0.0337",="-0.0230",="-0.0476"
="",="(0.0605)",="(0.0225)",="(0.0216)",="(0.319)",="(0.00565)",="(0.00426)",="(0.708)",="(0.0246)",="(0.0145)",="(0.122)",="(0.0606)",="(0.0763)"

="N",="12",="145",="43",="12",="43",="43",="12",="145",="43",="11",="141",="39"
="R-sq",="0.347",="0.105",="0.169",="0.450",="0.392",="0.355",="0.449",="0.472",="0.384",="0.184",="0.262",="0.534"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
