
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Mean",="SCE_Var",="SCE_Disg",="SCE_FE"

="L.InfExp_Mean",="0.582***",="",="",=""
="",="(0.154)",="",="",=""

="L2.InfExp_Mean",="0.174",="",="",=""
="",="(0.187)",="",="",=""

="L3.InfExp_Mean",="-0.144",="",="",=""
="",="(0.194)",="",="",=""

="L4.InfExp_Mean",="-0.0344",="",="",=""
="",="(0.159)",="",="",=""

="L5.InfExp_Mean",="-0.0318",="",="",=""
="",="(0.203)",="",="",=""

="L6.InfExp_Mean",="-0.107",="",="",=""
="",="(0.215)",="",="",=""

="L7.InfExp_Mean",="0.0418",="",="",=""
="",="(0.161)",="",="",=""

="L8.InfExp_Mean",="0.125",="",="",=""
="",="(0.135)",="",="",=""

="L9.InfExp_Mean",="0.0149",="",="",=""
="",="(0.172)",="",="",=""

="L10.InfExp_Mean",="-0.241",="",="",=""
="",="(0.171)",="",="",=""

="L11.InfExp_Mean",="0.0600",="",="",=""
="",="(0.152)",="",="",=""

="L12.InfExp_Mean",="0.160",="",="",=""
="",="(0.133)",="",="",=""

="L.InfExp_Var",="",="0.383**",="",=""
="",="",="(0.131)",="",=""

="L2.InfExp_Var",="",="0.295",="",=""
="",="",="(0.211)",="",=""

="L3.InfExp_Var",="",="-0.0975",="",=""
="",="",="(0.188)",="",=""

="L4.InfExp_Var",="",="-0.109",="",=""
="",="",="(0.204)",="",=""

="L5.InfExp_Var",="",="-0.0323",="",=""
="",="",="(0.216)",="",=""

="L6.InfExp_Var",="",="0.0545",="",=""
="",="",="(0.153)",="",=""

="L7.InfExp_Var",="",="-0.0693",="",=""
="",="",="(0.199)",="",=""

="L8.InfExp_Var",="",="-0.0217",="",=""
="",="",="(0.153)",="",=""

="L9.InfExp_Var",="",="0.0502",="",=""
="",="",="(0.224)",="",=""

="L10.InfExp_Var",="",="0.00326",="",=""
="",="",="(0.195)",="",=""

="L11.InfExp_Var",="",="-0.343",="",=""
="",="",="(0.209)",="",=""

="L12.InfExp_Var",="",="-0.106",="",=""
="",="",="(0.199)",="",=""

="L.InfExp_Disg",="",="",="0.624**",=""
="",="",="",="(0.220)",=""

="L2.InfExp_Disg",="",="",="0.295",=""
="",="",="",="(0.187)",=""

="L3.InfExp_Disg",="",="",="-0.251",=""
="",="",="",="(0.158)",=""

="L4.InfExp_Disg",="",="",="-0.155",=""
="",="",="",="(0.144)",=""

="L5.InfExp_Disg",="",="",="0.104",=""
="",="",="",="(0.162)",=""

="L6.InfExp_Disg",="",="",="-0.0860",=""
="",="",="",="(0.174)",=""

="L7.InfExp_Disg",="",="",="0.216",=""
="",="",="",="(0.214)",=""

="L8.InfExp_Disg",="",="",="-0.131",=""
="",="",="",="(0.207)",=""

="L9.InfExp_Disg",="",="",="-0.294",=""
="",="",="",="(0.154)",=""

="L10.InfExp_Disg",="",="",="0.138",=""
="",="",="",="(0.166)",=""

="L11.InfExp_Disg",="",="",="0.354",=""
="",="",="",="(0.185)",=""

="L12.InfExp_Disg",="",="",="-0.377*",=""
="",="",="",="(0.152)",=""

="L.InfExp_FE",="",="",="",="0.844***"
="",="",="",="",="(0.177)"

="L2.InfExp_FE",="",="",="",="0.131"
="",="",="",="",="(0.189)"

="L3.InfExp_FE",="",="",="",="-0.187"
="",="",="",="",="(0.209)"

="L4.InfExp_FE",="",="",="",="-0.0625"
="",="",="",="",="(0.241)"

="L5.InfExp_FE",="",="",="",="0.00278"
="",="",="",="",="(0.301)"

="L6.InfExp_FE",="",="",="",="-0.0393"
="",="",="",="",="(0.282)"

="L7.InfExp_FE",="",="",="",="-0.0479"
="",="",="",="",="(0.164)"

="L8.InfExp_FE",="",="",="",="0.221"
="",="",="",="",="(0.193)"

="L9.InfExp_FE",="",="",="",="0.0415"
="",="",="",="",="(0.187)"

="L10.InfExp_FE",="",="",="",="-0.371"
="",="",="",="",="(0.208)"

="L11.InfExp_FE",="",="",="",="0.0109"
="",="",="",="",="(0.246)"

="L12.InfExp_FE",="",="",="",="0.164"
="",="",="",="",="(0.168)"

="N",="41",="41",="41",="39"
="r2",="0.566",="0.458",="0.599",="0.722"
="ar2",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
