
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SCE_Mean",="SPFCPI_Mean",="SPFPCE_Mean",="SCE_Var",="SPFCPI_Var",="SPFPCE_Var",="SCE_Disg",="SPFCPI_Disg",="SPFPCE_Disg",="SCE_FE",="SPFCPI_FE",="SPFPCE_FE"

="L3.InfExp_Mean",="-0.371",="0.732***",="0.316",="",="",="",="",="",="",="",="",=""
="",="(0.282)",="(0.154)",="(0.286)",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean",="0.321",="0.244",="0.00450",="",="",="",="",="",="",="",="",=""
="",="(0.379)",="(0.184)",="(0.306)",="",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean",="0.0320",="-0.136",="-0.0951",="",="",="",="",="",="",="",="",=""
="",="(0.222)",="(0.160)",="(0.195)",="",="",="",="",="",="",="",="",=""

="L3.InfExp_Var",="",="",="",="-0.494*",="0.131",="0.134",="",="",="",="",="",=""
="",="",="",="",="(0.207)",="(0.142)",="(0.161)",="",="",="",="",="",=""

="L4.InfExp_Var",="",="",="",="-0.580*",="0.326*",="0.422*",="",="",="",="",="",=""
="",="",="",="",="(0.186)",="(0.151)",="(0.173)",="",="",="",="",="",=""

="L5.InfExp_Var",="",="",="",="-0.336",="0.137",="0.0951",="",="",="",="",="",=""
="",="",="",="",="(0.205)",="(0.139)",="(0.155)",="",="",="",="",="",=""

="L3.InfExp_Disg",="",="",="",="",="",="",="-0.319",="0.245",="0.723***",="",="",=""
="",="",="",="",="",="",="",="(0.435)",="(0.152)",="(0.149)",="",="",=""

="L4.InfExp_Disg",="",="",="",="",="",="",="-0.0157",="0.0611",="0.162",="",="",=""
="",="",="",="",="",="",="",="(0.447)",="(0.0930)",="(0.192)",="",="",=""

="L5.InfExp_Disg",="",="",="",="",="",="",="-0.178",="0.184*",="-0.0546",="",="",=""
="",="",="",="",="",="",="",="(0.324)",="(0.0735)",="(0.177)",="",="",=""

="L3.InfExp_FE",="",="",="",="",="",="",="",="",="",="-0.353",="0.427*",="0.307"
="",="",="",="",="",="",="",="",="",="",="(0.391)",="(0.188)",="(0.375)"

="L4.InfExp_FE",="",="",="",="",="",="",="",="",="",="0.179",="-0.489*",="-0.600"
="",="",="",="",="",="",="",="",="",="",="(0.534)",="(0.223)",="(0.458)"

="L5.InfExp_FE",="",="",="",="",="",="",="",="",="",="-0.157",="0.188",="0.197"
="",="",="",="",="",="",="",="",="",="",="(0.345)",="(0.106)",="(0.246)"

="_cons",="3.481***",="0.399***",="1.402**",="38.18***",="0.0389*",="0.0331*",="34.08**",="0.170***",="0.0299",="1.902**",="0.191",="0.373"
="",="(0.516)",="(0.0977)",="(0.479)",="(5.396)",="(0.0152)",="(0.0125)",="(10.02)",="(0.0356)",="(0.0263)",="(0.410)",="(0.103)",="(0.198)"

="N",="13",="146",="44",="13",="44",="44",="13",="146",="44",="12",="142",="40"
="R-sq",="0.305",="0.851",="0.086",="0.630",="0.137",="0.235",="0.176",="0.471",="0.678",="0.178",="0.084",="0.118"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
