
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="Q9_mean",="Q9_mean_ch",="Q9_var",="Q9_var_ch",="Q9_disg",="Q9_disg_ch",="CPI1y",="CPI1y_ch",="PCE1y",="PCE1y_ch",="CORECPI1y",="CORECPI1y_ch",="COREPCE1y",="COREPCE1y_ch",="PRCCPIVar1mean",="PRCCPIVar1mean_ch",="PRCPCEVar1mean",="PRCPCEVar1mean_ch"

="L.Q9_mean",="0.547",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.422)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_mean",="-0.421",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.412)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_mean",="-0.0603",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.427)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_mean",="0.257",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.376)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_mean",="-0.0528",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.247)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_mean_ch",="",="0.0195",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.424)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_mean_ch",="",="-0.101",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.344)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_mean_ch",="",="0.0159",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.329)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_mean_ch",="",="0.0724",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.332)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_mean_ch",="",="0.323",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.336)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_var",="",="",="0.275",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.216)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_var",="",="",="-0.0651",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.216)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_var",="",="",="-0.472",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.228)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_var",="",="",="-0.555*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.206)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_var",="",="",="-0.184",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.261)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_var_ch",="",="",="",="-0.142",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
