
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Meanlvl",="SCE_Meandiff",="SCE_Varlvl",="SCE_Vardiff"

="L.InfExp_Mean",="0.793***",="",="",=""
="",="(0.132)",="",="",=""

="L2.InfExp_Mean",="0.0886",="",="",=""
="",="(0.131)",="",="",=""

="L.InfExp_Mean_ch",="",="-0.146",="",=""
="",="",="(0.145)",="",=""

="L2.InfExp_Mean_ch",="",="0.0812",="",=""
="",="",="(0.136)",="",=""

="L.InfExp_Var",="",="",="0.429**",=""
="",="",="",="(0.144)",=""

="L2.InfExp_Var",="",="",="0.169",=""
="",="",="",="(0.144)",=""

="L.InfExp_Var_ch",="",="",="",="-0.378*"
="",="",="",="",="(0.149)"

="L2.InfExp_Var_ch",="",="",="",="-0.137"
="",="",="",="",="(0.146)"

="N",="51",="50",="51",="50"
="r2",="0.832",="0.0327",="0.286",="0.120"
="ar2",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
