
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SPFCPI_Mean",="SPFPCE_Mean",="SPFCPI_Var",="SPFPCE_Var",="SPFCPI_Disg",="SPFPCE_Disg",="SPFCPI_FE",="SPFPCE_FE"

="L.InfExp_Mean_ch",="-0.111",="0.262",="",="",="",="",="",=""
="",="(0.0837)",="(0.162)",="",="",="",="",="",=""

="L2.InfExp_Mean_ch",="-0.0973",="-0.356*",="",="",="",="",="",=""
="",="(0.0818)",="(0.169)",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="0.0334",="-0.0347",="",="",="",="",="",=""
="",="(0.0807)",="(0.177)",="",="",="",="",="",=""

="L4.InfExp_Mean_ch",="0.209**",="0.0215",="",="",="",="",="",=""
="",="(0.0745)",="(0.168)",="",="",="",="",="",=""

="L5.InfExp_Mean_ch",="-0.125",="-0.100",="",="",="",="",="",=""
="",="(0.0766)",="(0.162)",="",="",="",="",="",=""

="L.InfExp_Var_ch",="",="",="-0.880***",="-0.544**",="",="",="",=""
="",="",="",="(0.197)",="(0.162)",="",="",="",=""

="L2.InfExp_Var_ch",="",="",="-0.822**",="-0.512*",="",="",="",=""
="",="",="",="(0.251)",="(0.191)",="",="",="",=""

="L3.InfExp_Var_ch",="",="",="-0.597*",="-0.527*",="",="",="",=""
="",="",="",="(0.270)",="(0.199)",="",="",="",=""

="L4.InfExp_Var_ch",="",="",="-0.196",="-0.157",="",="",="",=""
="",="",="",="(0.247)",="(0.200)",="",="",="",=""

="L5.InfExp_Var_ch",="",="",="-0.0305",="-0.272",="",="",="",=""
="",="",="",="(0.194)",="(0.183)",="",="",="",=""

="L.InfExp_Disg_ch",="",="",="",="",="-0.744***",="-0.433**",="",=""
="",="",="",="",="",="(0.0764)",="(0.153)",="",=""

="L2.InfExp_Disg_ch",="",="",="",="",="-0.512***",="0.0930",="",=""
="",="",="",="",="",="(0.0770)",="(0.156)",="",=""

="L3.InfExp_Disg_ch",="",="",="",="",="-0.239**",="0.263",="",=""
="",="",="",="",="",="(0.0751)",="(0.136)",="",=""

="L4.InfExp_Disg_ch",="",="",="",="",="0.0430",="-0.0815",="",=""
="",="",="",="",="",="(0.0601)",="(0.134)",="",=""

="L5.InfExp_Disg_ch",="",="",="",="",="0.104*",="-0.0891",="",=""
="",="",="",="",="",="(0.0443)",="(0.118)",="",=""

="L.InfExp_FE_ch",="",="",="",="",="",="",="0.151",="0.370*"
="",="",="",="",="",="",="",="(0.0861)",="(0.156)"

="L2.InfExp_FE_ch",="",="",="",="",="",="",="-0.231**",="-0.462**"
="",="",="",="",="",="",="",="(0.0760)",="(0.144)"

="L3.InfExp_FE_ch",="",="",="",="",="",="",="0.0115",="0.113"
="",="",="",="",="",="",="",="(0.0786)",="(0.128)"

="L4.InfExp_FE_ch",="",="",="",="",="",="",="-0.469***",="-0.479***"
="",="",="",="",="",="",="",="(0.0760)",="(0.114)"

="L5.InfExp_FE_ch",="",="",="",="",="",="",="0.0508",="0.207"
="",="",="",="",="",="",="",="(0.0849)",="(0.121)"

="_cons",="-0.0233",="-0.00763",="0.00513",="0.00476",="-0.0236",="-0.0138",="-0.0230",="-0.0476"
="",="(0.0225)",="(0.0216)",="(0.00565)",="(0.00426)",="(0.0246)",="(0.0145)",="(0.0606)",="(0.0763)"

="N",="145",="43",="43",="43",="145",="43",="141",="39"
="R-sq",="0.105",="0.169",="0.392",="0.355",="0.472",="0.384",="0.262",="0.534"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
