
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPI_Meanlvl",="SPFCPI_Meandiff",="SPFCPI_Mean_rv",="SPFPCE_Meanlvl",="SPFPCE_Meandiff",="SPFPCE_Mean_rv",="SPFCPI_Varlvl",="SPFCPI_Vardiff",="SPFCPI_Var_rv",="SPFPCE_Varlvl",="SPFPCE_Vardiff",="SPFPCE_Var_rv"

="L.InfExp_Mean",="0.818***",="",="",="1.067***",="",="",="",="",="",="",="",=""
="",="(0.0818)",="",="",="(0.141)",="",="",="",="",="",="",="",=""

="L2.InfExp_Mean",="0.0875",="",="",="-0.334*",="",="",="",="",="",="",="",=""
="",="(0.0774)",="",="",="(0.141)",="",="",="",="",="",="",="",=""

="L.InfExp_Mean_ch",="",="-0.0557",="",="",="0.275",="",="",="",="",="",="",=""
="",="",="(0.0766)",="",="",="(0.142)",="",="",="",="",="",="",=""

="L2.InfExp_Mean_ch",="",="-0.0907",="",="",="-0.352*",="",="",="",="",="",="",=""
="",="",="(0.0766)",="",="",="(0.142)",="",="",="",="",="",="",=""

="L.InfExp_Mean_rv",="",="",="0.122",="",="",="-0.0281",="",="",="",="",="",=""
="",="",="",="(0.156)",="",="",="(0.145)",="",="",="",="",="",=""

="L2.InfExp_Mean_rv",="",="",="0.0248",="",="",="-0.0374",="",="",="",="",="",=""
="",="",="",="(0.156)",="",="",="(0.142)",="",="",="",="",="",=""

="L.InfExp_Var",="",="",="",="",="",="",="0.214",="",="",="0.436**",="",=""
="",="",="",="",="",="",="",="(0.179)",="",="",="(0.147)",="",=""

="L2.InfExp_Var",="",="",="",="",="",="",="0.0583",="",="",="0.189",="",=""
="",="",="",="",="",="",="",="(0.177)",="",="",="(0.146)",="",=""

="L.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.587***",="",="",="-0.465**",=""
="",="",="",="",="",="",="",="",="(0.160)",="",="",="(0.149)",=""

="L2.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.425*",="",="",="-0.239",=""
="",="",="",="",="",="",="",="",="(0.160)",="",="",="(0.156)",=""

="L.InfExp_Var_rv",="",="",="",="",="",="",="",="",="-0.0873",="",="",="0.175"
="",="",="",="",="",="",="",="",="",="(0.146)",="",="",="(0.140)"

="L2.InfExp_Var_rv",="",="",="",="",="",="",="",="",="-0.227",="",="",="0.367*"
="",="",="",="",="",="",="",="",="",="(0.146)",="",="",="(0.143)"

="_cons",="0.242***",="-0.0330",="0.0557",="0.488**",="0.0000286",="0.0344",="0.0631**",="0.00502",="-0.0453***",="0.0314*",="0.00231",="-0.0191*"
="",="(0.0638)",="(0.0228)",="(0.0298)",="(0.162)",="(0.0199)",="(0.0240)",="(0.0185)",="(0.00554)",="(0.00878)",="(0.0117)",="(0.00415)",="(0.00823)"

="N",="149",="148",="46",="47",="46",="46",="47",="46",="46",="47",="46",="46"
="R-sq",="0.934",="0.013",="0.016",="0.688",="0.161",="0.002",="0.040",="0.260",="0.058",="0.323",="0.187",="0.204"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
