
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SCEMeandiff0",="SCEMeandiff1",="SCEMeandiff2",="SCEMeandiff3",="SCEVardiff0",="SCEVardiff1",="SCEVardiff2",="SCEVardiff3"

="L.InfExp_Mean_ch",="",="-0.414***",="-0.591***",="-0.636***",="",="",="",=""
="",="",="(0.008)",="(0.010)",="(0.015)",="",="",="",=""

="L2.InfExp_Mean_ch",="",="",="-0.314***",="-0.398***",="",="",="",=""
="",="",="",="(0.009)",="(0.015)",="",="",="",=""

="L3.InfExp_Mean_ch",="",="",="-0.125***",="-0.254***",="",="",="",=""
="",="",="",="(0.009)",="(0.014)",="",="",="",=""

="L4.InfExp_Mean_ch",="",="",="",="-0.139***",="",="",="",=""
="",="",="",="",="(0.016)",="",="",="",=""

="L5.InfExp_Mean_ch",="",="",="",="-0.073***",="",="",="",=""
="",="",="",="",="(0.013)",="",="",="",=""

="L6.InfExp_Mean_ch",="",="",="",="-0.033***",="",="",="",=""
="",="",="",="",="(0.009)",="",="",="",=""

="L.InfExp_Var_ch",="",="",="",="",="",="-0.391***",="-0.576***",="-0.659***"
="",="",="",="",="",="",="(0.011)",="(0.014)",="(0.024)"

="L2.InfExp_Var_ch",="",="",="",="",="",="",="-0.305***",="-0.418***"
="",="",="",="",="",="",="",="(0.013)",="(0.023)"

="L3.InfExp_Var_ch",="",="",="",="",="",="",="-0.127***",="-0.268***"
="",="",="",="",="",="",="",="(0.009)",="(0.019)"

="L4.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.162***"
="",="",="",="",="",="",="",="",="(0.021)"

="L5.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.050**"
="",="",="",="",="",="",="",="",="(0.018)"

="L6.InfExp_Var_ch",="",="",="",="",="",="",="",="-0.014"
="",="",="",="",="",="",="",="",="(0.011)"

="_cons",="-0.049**",="-0.036*",="-0.022",="-0.011",="-0.703***",="-0.712***",="-0.641***",="-0.513***"
="",="(0.015)",="(0.015)",="(0.018)",="(0.020)",="(0.078)",="(0.058)",="(0.054)",="(0.081)"

="N",="45671",="36006",="22939",="10848",="46977",="36995",="23411",="10930"
="r2",="0.000",="0.196",="0.277",="0.296",="0.000",="0.182",="0.277",="0.317"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
