
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="SCE_FE_bias",="SCE_FE_lag1",="SCE_FE_lag4",="SCE_FE_lag8",="SCE_FE_arlag1",="SCE_FE_arlag4",="SCE_FE_arlag8"

="L.InfExp_Mean",="",="0.368***",="",="",="",="",=""
="",="",="(0.015)",="",="",="",="",=""

="L2.InfExp_Mean",="",="0.237***",="",="",="",="",=""
="",="",="(0.014)",="",="",="",="",=""

="L3.InfExp_Mean",="",="0.172***",="",="",="",="",=""
="",="",="(0.012)",="",="",="",="",=""

="L4.InfExp_Mean",="",="",="0.297***",="",="",="",=""
="",="",="",="(0.021)",="",="",="",=""

="L5.InfExp_Mean",="",="",="0.212***",="",="",="",=""
="",="",="",="(0.020)",="",="",="",=""

="L6.InfExp_Mean",="",="",="0.127***",="",="",="",=""
="",="",="",="(0.018)",="",="",="",=""

="L7.InfExp_Mean",="",="",="0.0766***",="",="",="",=""
="",="",="",="(0.014)",="",="",="",=""

="L8.InfExp_Mean",="",="",="",="0.308***",="",="",=""
="",="",="",="",="(0.046)",="",="",=""

="L9.InfExp_Mean",="",="",="",="0.146***",="",="",=""
="",="",="",="",="(0.042)",="",="",=""

="L10.InfExp_Mean",="",="",="",="0.114*",="",="",=""
="",="",="",="",="(0.047)",="",="",=""

="L11.InfExp_Mean",="",="",="",="0.0462",="",="",=""
="",="",="",="",="(0.029)",="",="",=""

="L.InfExp_FE",="",="",="",="",="0.377***",="",=""
="",="",="",="",="",="(0.015)",="",=""

="L2.InfExp_FE",="",="",="",="",="0.238***",="",=""
="",="",="",="",="",="(0.014)",="",=""

="L3.InfExp_FE",="",="",="",="",="0.170***",="",=""
="",="",="",="",="",="(0.012)",="",=""

="L4.InfExp_FE",="",="",="",="",="",="0.307***",=""
="",="",="",="",="",="",="(0.021)",=""

="L5.InfExp_FE",="",="",="",="",="",="0.214***",=""
="",="",="",="",="",="",="(0.020)",=""

="L6.InfExp_FE",="",="",="",="",="",="0.123***",=""
="",="",="",="",="",="",="(0.017)",=""

="L7.InfExp_FE",="",="",="",="",="",="0.0712***",=""
="",="",="",="",="",="",="(0.013)",=""

="L8.InfExp_FE",="",="",="",="",="",="",="0.311***"
="",="",="",="",="",="",="",="(0.045)"

="L9.InfExp_FE",="",="",="",="",="",="",="0.140***"
="",="",="",="",="",="",="",="(0.042)"

="L10.InfExp_FE",="",="",="",="",="",="",="0.104*"
="",="",="",="",="",="",="",="(0.046)"

="L11.InfExp_FE",="",="",="",="",="",="",="0.0439"
="",="",="",="",="",="",="",="(0.029)"

="_cons",="2.220***",="-0.599***",="-0.372***",="-0.0356",="0.435***",="0.549***",="0.742***"
="",="(0.019)",="(0.036)",="(0.054)",="(0.146)",="(0.023)",="(0.035)",="(0.097)"

="N",="67380",="35340",="16514",="2836",="35340",="16514",="2836"
="r2",="0",="0.438",="0.361",="0.234",="0.464",="0.377",="0.232"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
