
="",="(1)",="(2)",="(3)",="(4)"
="",="SCEMeanrvlv0",="SCEMeanrvlv1",="SCEVarrvlv0",="SCEVarrvlv1"

="L.InfExp_Mean_rv",="",="0.284***",="",=""
="",="",="(0.022)",="",=""

="SCE_Mean_ct50",="",="0.356",="",=""
="",="",="(0.347)",="",=""

="L.InfExp_Var_rv",="",="",="",="0.288***"
="",="",="",="",="(0.029)"

="_cons",="-0.491***",="-1.096",="-5.581***",="-1.943***"
="",="(0.044)",="(0.965)",="(0.212)",="(0.260)"

="N",="5970",="2299",="6227",="2388"
="r2",="0.000",="0.100",="0.000",="0.101"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
