
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="SCE_Meanlvl",="SCE_Meandiff",="SCE_FElvl",="SCE_FEdiff",="SCE_Varlvl",="SCE_Vardiff"

="L3.InfExp_Mean",="0.328***",="",="",="",="",=""
="",="(0.0182)",="",="",="",="",=""

="L4.InfExp_Mean",="0.223***",="",="",="",="",=""
="",="(0.0151)",="",="",="",="",=""

="L5.InfExp_Mean",="0.149***",="",="",="",="",=""
="",="(0.0118)",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="0.00558",="",="",="",=""
="",="",="(0.0178)",="",="",="",=""

="L4.InfExp_Mean_ch",="",="0.00409",="",="",="",=""
="",="",="(0.0227)",="",="",="",=""

="L5.InfExp_Mean_ch",="",="0.00930",="",="",="",=""
="",="",="(0.0141)",="",="",="",=""

="L3.InfExp_FE",="",="",="0.332***",="",="",=""
="",="",="",="(0.0176)",="",="",=""

="L4.InfExp_FE",="",="",="0.226***",="",="",=""
="",="",="",="(0.0150)",="",="",=""

="L5.InfExp_FE",="",="",="0.149***",="",="",=""
="",="",="",="(0.0114)",="",="",=""

="L3.InfExp_FE_ch",="",="",="",="0.00513",="",=""
="",="",="",="",="(0.0177)",="",=""

="L4.InfExp_FE_ch",="",="",="",="0.00434",="",=""
="",="",="",="",="(0.0223)",="",=""

="L5.InfExp_FE_ch",="",="",="",="0.00941",="",=""
="",="",="",="",="(0.0139)",="",=""

="L3.InfExp_Var",="",="",="",="",="0.427***",=""
="",="",="",="",="",="(0.0267)",=""

="L4.InfExp_Var",="",="",="",="",="0.270***",=""
="",="",="",="",="",="(0.0231)",=""

="L5.InfExp_Var",="",="",="",="",="0.124***",=""
="",="",="",="",="",="(0.0139)",=""

="L3.InfExp_Var_ch",="",="",="",="",="",="0.000286"
="",="",="",="",="",="",="(0.0205)"

="L4.InfExp_Var_ch",="",="",="",="",="",="0.0430*"
="",="",="",="",="",="",="(0.0202)"

="L5.InfExp_Var_ch",="",="",="",="",="",="0.00237"
="",="",="",="",="",="",="(0.0119)"

="_cons",="1.059***",="-0.0130",="0.593***",="-0.0268",="0.528***",="-0.288*"
="",="(0.0621)",="(0.0274)",="(0.0816)",="(0.0435)",="(0.146)",="(0.117)"

="N",="26010",="19466",="26010",="19466",="26010",="19466"
="R-sq",="0.372",="0.000",="0.380",="0.000",="0.651",="0.003"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
