
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SPFCPI_Meanlvl",="SPFCPI_Meandiff",="SPFPCE_Meanlvl",="SPFPCE_Meandiff",="SPFCPI_FElvl",="SPFCPI_FEdiff",="SPFPCE_FElvl",="SPFPCE_FEdiff",="SPFCPI_Varlvl",="SPFCPI_Vardiff",="SPFPCE_Varlvl",="SPFPCE_Vardiff"

="L3.InfExp_Mean",="0.452***",="",="0.385***",="",="",="",="",="",="",="",="",=""
="",="(0.0388)",="",="(0.0706)",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean",="0.0960",="",="0.121*",="",="",="",="",="",="",="",="",=""
="",="(0.0603)",="",="(0.0525)",="",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean",="0.212***",="",="0.104*",="",="",="",="",="",="",="",="",=""
="",="(0.0460)",="",="(0.0478)",="",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="",="-0.0135",="",="-0.0172",="",="",="",="",="",="",="",=""
="",="",="(0.0378)",="",="(0.0529)",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean_ch",="",="-0.0309",="",="-0.0240",="",="",="",="",="",="",="",=""
="",="",="(0.0479)",="",="(0.0541)",="",="",="",="",="",="",="",=""

="L5.InfExp_Mean_ch",="",="0.0143",="",="-0.109*",="",="",="",="",="",="",="",=""
="",="",="(0.0318)",="",="(0.0409)",="",="",="",="",="",="",="",=""

="L3.InfExp_FE",="",="",="",="",="0.355*",="",="0.446*",="",="",="",="",=""
="",="",="",="",="",="(0.166)",="",="(0.211)",="",="",="",="",=""

="L4.InfExp_FE",="",="",="",="",="-0.404*",="",="-0.492*",="",="",="",="",=""
="",="",="",="",="",="(0.155)",="",="(0.233)",="",="",="",="",=""

="L5.InfExp_FE",="",="",="",="",="0.203*",="",="0.226",="",="",="",="",=""
="",="",="",="",="",="(0.0842)",="",="(0.127)",="",="",="",="",=""

="L3.InfExp_FE_ch",="",="",="",="",="",="-0.0388",="",="-0.0895",="",="",="",=""
="",="",="",="",="",="",="(0.0346)",="",="(0.0481)",="",="",="",=""

="L4.InfExp_FE_ch",="",="",="",="",="",="-0.468*",="",="-0.410",="",="",="",=""
="",="",="",="",="",="",="(0.192)",="",="(0.265)",="",="",="",=""

="L5.InfExp_FE_ch",="",="",="",="",="",="0.0332",="",="0.00214",="",="",="",=""
="",="",="",="",="",="",="(0.0609)",="",="(0.0517)",="",="",="",=""

="L3.InfExp_Var",="",="",="",="",="",="",="",="",="-10.76",="",="-0.0000192",=""
="",="",="",="",="",="",="",="",="",="(13.85)",="",="(0.0000124)",=""

="L4.InfExp_Var",="",="",="",="",="",="",="",="",="19.60",="",="2.853",=""
="",="",="",="",="",="",="",="",="",="(22.36)",="",="(2.204)",=""

="L5.InfExp_Var",="",="",="",="",="",="",="",="",="-15.29",="",="1.486",=""
="",="",="",="",="",="",="",="",="",="(19.14)",="",="(1.470)",=""

="L3.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="0.0000155",="",="0.0000140"
="",="",="",="",="",="",="",="",="",="",="(0.0000184)",="",="(0.00000733)"

="L4.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="0.00000517",="",="0.166"
="",="",="",="",="",="",="",="",="",="",="(0.00000647)",="",="(0.322)"

="L5.InfExp_Var_ch",="",="",="",="",="",="",="",="",="",="-0.0000217",="",="-0.262"
="",="",="",="",="",="",="",="",="",="",="(0.0000208)",="",="(0.168)"

="_cons",="0.561***",="-0.0239",="0.697***",="-0.0197",="0.151",="-0.00906",="0.263",="-0.0690",="-597.3",="-0.00325",="-2.553",="0.00689"
="",="(0.0710)",="(0.0179)",="(0.102)",="(0.0243)",="(0.133)",="(0.0888)",="(0.157)",="(0.0802)",="(598.1)",="(0.00831)",="(2.590)",="(0.00621)"

="N",="2501",="1898",="939",="751",="2313",="1755",="850",="678",="724",="520",="604",="406"
="R-sq",="0.648",="0.002",="0.346",="0.011",="0.084",="0.204",="0.117",="0.232",="0.001",="0.000",="0.000",="0.092"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
